, "id", "k", "i", "j", "f"
377, 377, 1, 13, 5, 50.00012
378, 378, 1, 13, 6, 47.50016
379, 379, 1, 13, 7, 45.00017
380, 380, 1, 13, 8, 42.50015
381, 381, 1, 13, 9, 40.00014
382, 382, 1, 13, 10, 37.50018
383, 383, 1, 13, 11, 35.00026
384, 384, 1, 13, 12, 32.50037
385, 385, 1, 13, 13, 30.00043
386, 386, 1, 13, 14, 27.50045
387, 387, 1, 13, 15, 25.00043
388, 388, 1, 13, 16, 22.50039
389, 389, 1, 13, 17, 21.00039
390, 390, 1, 13, 18, 19.50024
391, 391, 1, 13, 19, 18.00004
392, 392, 1, 13, 20, 16.49996
393, 393, 1, 13, 21, 14.99988
394, 394, 1, 13, 22, 13.49979
395, 395, 1, 13, 23, 11.99972
396, 396, 1, 13, 24, 10.49969
397, 397, 1, 13, 25, 8.99975
398, 398, 1, 13, 26, 7.499917
399, 399, 1, 13, 27, 6.00012
400, 400, 1, 13, 28, 4.500218
401, 401, 1, 13, 29, 3.000188
402, 402, 1, 13, 30, 1.500116
403, 403, 1, 13, 31, 0.0
404, 404, 1, 14, 1, 60.0
405, 405, 1, 14, 2, 57.50011
406, 406, 1, 14, 3, 55.00012
407, 407, 1, 14, 4, 52.50011
408, 408, 1, 14, 5, 50.00013
409, 409, 1, 14, 6, 47.50015
410, 410, 1, 14, 7, 45.00015
411, 411, 1, 14, 8, 42.50015
412, 412, 1, 14, 9, 40.00017
413, 413, 1, 14, 10, 37.50021
414, 414, 1, 14, 11, 35.00028
415, 415, 1, 14, 12, 32.50035
416, 416, 1, 14, 13, 30.00038
417, 417, 1, 14, 14, 27.5004
418, 418, 1, 14, 15, 25.0004
419, 419, 1, 14, 16, 22.50039
420, 420, 1, 14, 17, 21.00029
421, 421, 1, 14, 18, 19.50016
422, 422, 1, 14, 19, 17.99996
423, 423, 1, 14, 20, 16.49986
424, 424, 1, 14, 21, 14.99979
425, 425, 1, 14, 22, 13.49974
426, 426, 1, 14, 23, 11.99973
427, 427, 1, 14, 24, 10.49978
428, 428, 1, 14, 25, 8.999874
429, 429, 1, 14, 26, 7.500004
430, 430, 1, 14, 27, 6.000113
431, 431, 1, 14, 28, 4.500134
432, 432, 1, 14, 29, 3.000094
433, 433, 1, 14, 30, 1.500058
434, 434, 1, 14, 31, 0.0
435, 435, 1, 15, 1, 60.0
436, 436, 1, 15, 2, 57.50014
437, 437, 1, 15, 3, 55.00015
438, 438, 1, 15, 4, 52.50014
439, 439, 1, 15, 5, 50.00016
440, 440, 1, 15, 6, 47.50017
441, 441, 1, 15, 7, 45.00015
442, 442, 1, 15, 8, 42.50014
443, 443, 1, 15, 9, 40.00015
444, 444, 1, 15, 10, 37.50019
445, 445, 1, 15, 11, 35.00026
446, 446, 1, 15, 12, 32.50033
447, 447, 1, 15, 13, 30.00037
448, 448, 1, 15, 14, 27.50038
449, 449, 1, 15, 15, 25.00039
450, 450, 1, 15, 16, 22.50039
451, 451, 1, 15, 17, 21.00019
452, 452, 1, 15, 18, 19.50009
453, 453, 1, 15, 19, 17.99991
454, 454, 1, 15, 20, 16.49983
455, 455, 1, 15, 21, 14.99976
456, 456, 1, 15, 22, 13.49971
457, 457, 1, 15, 23, 11.99971
458, 458, 1, 15, 24, 10.49978
459, 459, 1, 15, 25, 8.999909
460, 460, 1, 15, 26, 7.500045
461, 461, 1, 15, 27, 6.000128
462, 462, 1, 15, 28, 4.500117
463, 463, 1, 15, 29, 3.00006
464, 464, 1, 15, 30, 1.500025
465, 465, 1, 15, 31, 0.0
466, 466, 1, 16, 1, 60.0
467, 467, 1, 16, 2, 57.50016
468, 468, 1, 16, 3, 55.00018
469, 469, 1, 16, 4, 52.50017
470, 470, 1, 16, 5, 50.0002
471, 471, 1, 16, 6, 47.50022
472, 472, 1, 16, 7, 45.0002
473, 473, 1, 16, 8, 42.50016
474, 474, 1, 16, 9, 40.00013
475, 475, 1, 16, 10, 37.50015
476, 476, 1, 16, 11, 35.0002
477, 477, 1, 16, 12, 32.50027
478, 478, 1, 16, 13, 30.00033
479, 479, 1, 16, 14, 27.50037
480, 480, 1, 16, 15, 25.00039
481, 481, 1, 16, 16, 22.50039
482, 482, 1, 16, 17, 21.00011
483, 483, 1, 16, 18, 19.50004
484, 484, 1, 16, 19, 17.99988
485, 485, 1, 16, 20, 16.49984
486, 486, 1, 16, 21, 14.99981
487, 487, 1, 16, 22, 13.49976
488, 488, 1, 16, 23, 11.99974
489, 489, 1, 16, 24, 10.49978
490, 490, 1, 16, 25, 8.999875
491, 491, 1, 16, 26, 7.499991
492, 492, 1, 16, 27, 6.000074
493, 493, 1, 16, 28, 4.500083
494, 494, 1, 16, 29, 3.000049
495, 495, 1, 16, 30, 1.500018
496, 496, 1, 16, 31, 0.0
497, 497, 1, 17, 1, 60.0
498, 498, 1, 17, 2, 57.50017
499, 499, 1, 17, 3, 55.00018
500, 500, 1, 17, 4, 52.50018
501, 501, 1, 17, 5, 50.00022
502, 502, 1, 17, 6, 47.50026
503, 503, 1, 17, 7, 45.00027
504, 504, 1, 17, 8, 42.50023
505, 505, 1, 17, 9, 40.00018
506, 506, 1, 17, 10, 37.50014
507, 507, 1, 17, 11, 35.00014
508, 508, 1, 17, 12, 32.50018
509, 509, 1, 17, 13, 30.00026
510, 510, 1, 17, 14, 27.50034
511, 511, 1, 17, 15, 25.00039
512, 512, 1, 17, 16, 22.50039
513, 513, 1, 17, 17, 21.00004
514, 514, 1, 17, 18, 19.49998
515, 515, 1, 17, 19, 17.99986
516, 516, 1, 17, 20, 16.49985
517, 517, 1, 17, 21, 14.99988
518, 518, 1, 17, 22, 13.49988
519, 519, 1, 17, 23, 11.99986
520, 520, 1, 17, 24, 10.49985
521, 521, 1, 17, 25, 8.999868
522, 522, 1, 17, 26, 7.499907
523, 523, 1, 17, 27, 5.99995
524, 524, 1, 17, 28, 4.499979
525, 525, 1, 17, 29, 3.000001
526, 526, 1, 17, 30, 1.500009
527, 527, 1, 17, 31, 0.0
528, 528, 1, 18, 1, 60.0
529, 529, 1, 18, 2, 57.50017
530, 530, 1, 18, 3, 55.00018
531, 531, 1, 18, 4, 52.50016
532, 532, 1, 18, 5, 50.00021
533, 533, 1, 18, 6, 47.50028
534, 534, 1, 18, 7, 45.00032
535, 535, 1, 18, 8, 42.50032
536, 536, 1, 18, 9, 40.00028
537, 537, 1, 18, 10, 37.50022
538, 538, 1, 18, 11, 35.00016
539, 539, 1, 18, 12, 32.50013
540, 540, 1, 18, 13, 30.00017
541, 541, 1, 18, 14, 27.50027
542, 542, 1, 18, 15, 25.00036
543, 543, 1, 18, 16, 22.50039
544, 544, 1, 18, 17, 20.99997
545, 545, 1, 18, 18, 19.49993
546, 546, 1, 18, 19, 17.99982
547, 547, 1, 18, 20, 16.49985
548, 548, 1, 18, 21, 14.99994
549, 549, 1, 18, 22, 13.5
550, 550, 1, 18, 23, 12.00002
551, 551, 1, 18, 24, 10.5
552, 552, 1, 18, 25, 8.999955
553, 553, 1, 18, 26, 7.49989
554, 554, 1, 18, 27, 5.999838
555, 555, 1, 18, 28, 4.499835
556, 556, 1, 18, 29, 2.999896
557, 557, 1, 18, 30, 1.499972
558, 558, 1, 18, 31, 0.0
559, 559, 1, 19, 1, 60.0
560, 560, 1, 19, 2, 57.50017
561, 561, 1, 19, 3, 55.00017
562, 562, 1, 19, 4, 52.50014
563, 563, 1, 19, 5, 50.00018
564, 564, 1, 19, 6, 47.50026
565, 565, 1, 19, 7, 45.00033
566, 566, 1, 19, 8, 42.50037
567, 567, 1, 19, 9, 40.00037
568, 568, 1, 19, 10, 37.50033
569, 569, 1, 19, 11, 35.00024
570, 570, 1, 19, 12, 32.50016
571, 571, 1, 19, 13, 30.00013
572, 572, 1, 19, 14, 27.5002
573, 573, 1, 19, 15, 25.00032
574, 574, 1, 19, 16, 22.50039
575, 575, 1, 19, 17, 20.99992
576, 576, 1, 19, 18, 19.49988
577, 577, 1, 19, 19, 17.99978
578, 578, 1, 19, 20, 16.49982
579, 579, 1, 19, 21, 14.99995
580, 580, 1, 19, 22, 13.50007
581, 581, 1, 19, 23, 12.00015
582, 582, 1, 19, 24, 10.50016
583, 583, 1, 19, 25, 9.000106
584, 584, 1, 19, 26, 7.499974
585, 585, 1, 19, 27, 5.999819
586, 586, 1, 19, 28, 4.49973
587, 587, 1, 19, 29, 2.999774
588, 588, 1, 19, 30, 1.499907
589, 589, 1, 19, 31, 0.0
590, 590, 1, 20, 1, 60.0
591, 591, 1, 20, 2, 57.50017
592, 592, 1, 20, 3, 55.00016
593, 593, 1, 20, 4, 52.50013
594, 594, 1, 20, 5, 50.00015
595, 595, 1, 20, 6, 47.50021
596, 596, 1, 20, 7, 45.00029
597, 597, 1, 20, 8, 42.50036
598, 598, 1, 20, 9, 40.00041
599, 599, 1, 20, 10, 37.50042
600, 600, 1, 20, 11, 35.00036
601, 601, 1, 20, 12, 32.50026
602, 602, 1, 20, 13, 30.00017
603, 603, 1, 20, 14, 27.50018
604, 604, 1, 20, 15, 25.00029
605, 605, 1, 20, 16, 22.50039
606, 606, 1, 20, 17, 20.99988
607, 607, 1, 20, 18, 19.49986
608, 608, 1, 20, 19, 17.99975
609, 609, 1, 20, 20, 16.49979
610, 610, 1, 20, 21, 14.99992
611, 611, 1, 20, 22, 13.50008
612, 612, 1, 20, 23, 12.0002
613, 613, 1, 20, 24, 10.50025
614, 614, 1, 20, 25, 9.00023
615, 615, 1, 20, 26, 7.500102
616, 616, 1, 20, 27, 5.999896
617, 617, 1, 20, 28, 4.499718
618, 618, 1, 20, 29, 2.999697
619, 619, 1, 20, 30, 1.499841
620, 620, 1, 20, 31, 0.0
621, 621, 1, 21, 1, 60.0
622, 622, 1, 21, 2, 57.50017
623, 623, 1, 21, 3, 55.00017
624, 624, 1, 21, 4, 52.50012
625, 625, 1, 21, 5, 50.00012
626, 626, 1, 21, 6, 47.50016
627, 627, 1, 21, 7, 45.00024
628, 628, 1, 21, 8, 42.50031
629, 629, 1, 21, 9, 40.00038
630, 630, 1, 21, 10, 37.50043
631, 631, 1, 21, 11, 35.00043
632, 632, 1, 21, 12, 32.50036
633, 633, 1, 21, 13, 30.00026
634, 634, 1, 21, 14, 27.50022
635, 635, 1, 21, 15, 25.00028
636, 636, 1, 21, 16, 22.50039
637, 637, 1, 21, 17, 20.99985
638, 638, 1, 21, 18, 19.49985
639, 639, 1, 21, 19, 17.99974
640, 640, 1, 21, 20, 16.49977
641, 641, 1, 21, 21, 14.99989
642, 642, 1, 21, 22, 13.50004
643, 643, 1, 21, 23, 12.00017
644, 644, 1, 21, 24, 10.50025
645, 645, 1, 21, 25, 9.000262
646, 646, 1, 21, 26, 7.500179
647, 647, 1, 21, 27, 5.999992
648, 648, 1, 21, 28, 4.49978
649, 649, 1, 21, 29, 2.999692
650, 650, 1, 21, 30, 1.499807
651, 651, 1, 21, 31, 0.0
652, 652, 1, 22, 1, 60.0
653, 653, 1, 22, 2, 57.50018
654, 654, 1, 22, 3, 55.00018
655, 655, 1, 22, 4, 52.50013
656, 656, 1, 22, 5, 50.00011
657, 657, 1, 22, 6, 47.50013
658, 658, 1, 22, 7, 45.00018
659, 659, 1, 22, 8, 42.50025
660, 660, 1, 22, 9, 40.00033
661, 661, 1, 22, 10, 37.50039
662, 662, 1, 22, 11, 35.00043
663, 663, 1, 22, 12, 32.50042
664, 664, 1, 22, 13, 30.00034
665, 665, 1, 22, 14, 27.50028
666, 666, 1, 22, 15, 25.0003
667, 667, 1, 22, 16, 22.50039
668, 668, 1, 22, 17, 20.99983
669, 669, 1, 22, 18, 19.49986
670, 670, 1, 22, 19, 17.99976
671, 671, 1, 22, 20, 16.49977
672, 672, 1, 22, 21, 14.99985
673, 673, 1, 22, 22, 13.49998
674, 674, 1, 22, 23, 12.0001
675, 675, 1, 22, 24, 10.50018
676, 676, 1, 22, 25, 9.000205
677, 677, 1, 22, 26, 7.500162
678, 678, 1, 22, 27, 6.000031
679, 679, 1, 22, 28, 4.499846
680, 680, 1, 22, 29, 2.999734
681, 681, 1, 22, 30, 1.499812
682, 682, 1, 22, 31, 0.0
683, 683, 1, 23, 1, 60.0
684, 684, 1, 23, 2, 57.50018
685, 685, 1, 23, 3, 55.00019
686, 686, 1, 23, 4, 52.50015
687, 687, 1, 23, 5, 50.00012
688, 688, 1, 23, 6, 47.50011
689, 689, 1, 23, 7, 45.00013
690, 690, 1, 23, 8, 42.50019
